Startup_Name,Industry,Initial_Funding_USD,Founder_Experience_Years,Team_Size,Target_Market_Size,Revenue_Model,Marketing_Spend_USD,Innovation_Index,Investor_Interest_Score,Success
"Anderson, Robinson and Simmons",Gaming,2275651.8094063583,0,20,5,Commission,181739,0.96,0.38,1
Smith and Sons,AI/ML,45853.74105888299,1,28,2,Commission,19889,0.78,0.59,0
"Ford, Hess and Mcdonald",E-commerce,1121767.2849862922,10,46,5,Commission,75862,0.76,0.85,1
"Johnson, Tucker and Gonzalez",RealEstate,447566.63909166266,14,39,1,Subscription,138007,0.3,0.46,0
White Inc,E-commerce,4618414.257800074,11,48,5,Commission,44021,0.3,0.25,1
Anderson-Stewart,FoodTech,4098352.1381803732,7,49,1,One-time Purchase,6049,0.45,0.85,1
Smith Group,AI/ML,53524.2445480986,7,34,3,Advertising,131214,0.9,0.23,0
Williams-Sharp,E-commerce,4902186.406634794,4,34,1,Advertising,80781,0.98,0.64,1
Stevens-Lopez,E-commerce,1049036.9592492762,14,37,1,One-time Purchase,40862,0.85,0.25,1
"Rogers, Hall and Mitchell",HealthTech,4732637.87013197,9,40,5,Freemium,117866,0.61,0.12,1
King PLC,E-commerce,5222919.2477226,6,5,1,Freemium,145322,1.0,0.79,1
Delgado Group,FoodTech,53904.84373385512,12,45,1,One-time Purchase,173241,0.89,0.52,1
Duncan PLC,AI/ML,295383.7986627467,2,48,2,Commission,9755,0.9,0.81,1
"Melendez, Sherman and Powell",FoodTech,430848.3177432277,4,13,5,One-time Purchase,111805,0.49,0.62,0
Richard Inc,FinTech,101837.0615795939,8,45,1,One-time Purchase,108965,0.33,0.43,0
"Myers, Page and Miller",Gaming,95509.34926962324,15,19,4,Advertising,125646,0.79,0.17,1
"Dickerson, Mcclure and Curry",AI/ML,5801692.550902477,15,47,3,Commission,87635,0.73,0.43,1
"Kelly, Reese and Ortiz",E-commerce,2110121.375087708,10,45,4,Commission,122172,0.77,0.64,1
Boyd LLC,E-commerce,445541.4585753323,12,14,1,Advertising,61046,0.58,0.81,1
"Wolf, Johnson and Pope",HealthTech,81957.51282067903,12,13,3,Subscription,52111,0.11,0.7,0
Herman LLC,Gaming,4413663.7903951695,8,5,4,Subscription,67261,0.32,0.81,1
Williams-Woods,Gaming,52911.906364558716,15,16,3,Advertising,154629,0.5,0.86,1
Green Group,E-commerce,80362.459926763,0,36,3,Commission,37817,0.48,0.76,0
Davis-Oneal,Travel,226837.19212623357,12,40,1,Commission,79519,0.72,0.5,1
Johnson-David,E-commerce,107557.3591832651,13,26,5,Advertising,63426,0.26,0.81,1
Moore-Sparks,Gaming,2213811.4755396536,15,21,4,Freemium,180439,0.43,0.35,1
Baker-Rose,FoodTech,1992097.3800938567,5,42,2,Advertising,98313,0.65,0.94,1
"Miller, Leonard and Warren",FoodTech,917106.4461560658,10,3,3,Commission,186920,0.68,0.87,1
"Cohen, Cunningham and Casey",AI/ML,490534.7336069332,1,23,2,Subscription,127731,0.76,0.99,0
Moore Inc,E-commerce,210326.30139075022,15,38,3,Subscription,86614,0.99,0.28,1
"Smith, Turner and Richardson",EdTech,1168672.752026851,4,8,3,Subscription,136622,0.82,0.85,1
Fisher and Sons,RealEstate,111675.78093761399,10,22,5,Subscription,111694,0.87,0.34,1
Vaughan PLC,E-commerce,5915634.670245529,5,27,3,One-time Purchase,19505,0.45,0.41,1
Carson PLC,EdTech,983479.1967708559,14,42,1,Commission,84780,0.41,0.16,0
Thomas-Richards,HealthTech,892241.6343992719,7,15,5,Subscription,54761,0.38,0.47,0
Brown Group,FoodTech,284997.87560127414,1,21,1,Subscription,106304,0.93,0.89,1
Hutchinson-Rivera,E-commerce,2347176.628121439,9,11,2,One-time Purchase,22817,0.64,0.92,1
"Gibson, White and Matthews",AI/ML,234689.81665545248,8,43,2,Advertising,112640,0.75,0.65,1
Giles-Contreras,RealEstate,269822.5278176642,2,47,5,Freemium,152094,0.34,0.62,0
"Thompson, Snyder and Briggs",EdTech,273501.9585020813,11,39,2,Subscription,89027,0.42,0.33,0
Chen Group,AI/ML,80800.59679498555,15,14,2,Commission,89867,0.7,0.37,1
Brady-Ward,FoodTech,534682.835042568,9,16,5,Freemium,89293,0.67,0.2,0
Gibson Inc,HealthTech,4258546.920880951,7,47,1,Subscription,198640,0.28,0.96,1
Mata-Webster,Travel,48942.03599386408,1,32,1,Advertising,152288,0.75,0.6,0
"Smith, Shaw and Howard",FinTech,491368.96044389514,12,30,5,Commission,106800,0.8,0.89,1
Hill-Norris,HealthTech,235280.12345879036,13,18,4,Commission,142303,0.49,0.3,0
Mitchell-Guzman,E-commerce,43716.0732673943,11,50,1,One-time Purchase,168366,0.54,0.72,0
Diaz Ltd,HealthTech,1087770.6323427563,9,14,4,Freemium,43461,0.49,0.45,0
Sheppard LLC,FoodTech,240586.19213042787,5,42,3,Commission,94346,0.3,0.29,0
"Holder, Castaneda and Howard",HealthTech,5338294.949661586,4,43,4,Advertising,163554,0.21,0.64,1
Phillips-Dougherty,AI/ML,90544.38027254163,1,22,3,Commission,118855,0.45,0.89,0
Maldonado-Carr,RealEstate,518802.359942112,2,17,4,Advertising,9011,0.88,0.73,1
Thompson-Coleman,AI/ML,2388760.170743095,14,45,3,Commission,134322,0.48,0.9,1
"Hodges, Gomez and Henderson",EdTech,59273.043374000976,9,26,1,Commission,53115,0.25,0.8,0
"Henderson, Rhodes and Morris",AI/ML,93102.19767031395,15,25,4,Subscription,43289,0.32,0.45,0
Wolfe-Le,E-commerce,5373695.5767126195,9,36,4,Commission,49071,0.92,0.15,1
Fox-Estes,RealEstate,4350116.477538504,2,47,1,One-time Purchase,96757,0.6,0.92,1
Grant-Taylor,HealthTech,107659.03225794966,5,26,3,Commission,112732,0.7,0.84,1
"Stewart, Watson and Kaufman",Gaming,226134.57148788852,4,2,2,Subscription,84601,0.8,0.36,0
Salinas-Rodriguez,FoodTech,84644.55255929528,11,4,2,Freemium,127733,0.91,0.7,1
"Gomez, Elliott and Mercer",RealEstate,43489.88290171175,12,18,2,Commission,86140,0.79,0.76,1
Miles-Bray,FinTech,100562.99724215585,7,17,3,Commission,22935,0.35,0.28,0
Lewis and Sons,Travel,434065.63113506004,15,2,3,Commission,193563,0.65,0.57,1
"Gregory, Cox and Riley",Gaming,83566.74477563261,15,21,4,Commission,176921,0.24,0.1,0
Evans LLC,FinTech,2208553.6601005876,11,25,3,Freemium,65682,0.35,0.36,0
"Bond, Holland and Cruz",HealthTech,1923511.0124916597,7,33,5,Freemium,120911,0.83,0.34,1
Howard-Ford,AI/ML,5248806.205921867,2,5,2,Commission,186041,0.44,0.45,0
"Elliott, Dunn and Wallace",Gaming,101377.56286568804,10,37,2,Subscription,180946,0.33,0.1,0
Meyers Ltd,E-commerce,252251.29500821859,9,47,5,Subscription,49136,0.62,0.4,0
Myers-Wilson,FinTech,5312886.700356179,15,33,5,Freemium,14798,0.91,0.28,1
Ward and Sons,Gaming,90003.739266238,5,9,1,Freemium,31174,0.14,0.67,0
"Mathis, Davis and Johnson",E-commerce,900529.960137596,0,47,1,Subscription,50643,0.87,0.76,0
"Salinas, Nolan and Lambert",AI/ML,1075180.9645678303,15,2,4,Subscription,36813,0.19,0.58,0
"Beard, Munoz and Lynch",Travel,218849.57697539267,12,20,4,One-time Purchase,61293,0.91,0.15,1
Krueger-Wagner,RealEstate,88764.85085810833,11,33,2,Subscription,68374,0.88,0.31,1
"Martin, Andrews and Davis",Gaming,1095547.3567013764,11,45,4,Freemium,83974,0.98,0.55,1
Sparks Group,Gaming,5278079.999674993,13,6,3,One-time Purchase,133986,0.48,0.65,1
"Burgess, Baker and Parker",E-commerce,4304230.56370471,6,16,5,One-time Purchase,51781,0.4,0.83,1
Beltran-Cooper,E-commerce,5667836.556770045,7,45,5,Subscription,55401,0.59,0.28,1
"Day, Novak and Jackson",AI/ML,1141081.9899559466,5,44,2,Freemium,150879,0.14,0.96,0
"Kim, Murray and Gonzales",FinTech,2394019.5852577104,11,12,1,One-time Purchase,18992,0.96,0.82,1
Nelson PLC,AI/ML,1029820.3197932185,9,2,1,Freemium,7266,0.26,0.34,0
Moore-Carr,HealthTech,464496.0550918738,9,44,2,Freemium,109789,0.53,0.87,1
Stewart Ltd,FoodTech,246027.44187876346,10,9,2,Advertising,8912,0.88,0.35,1
Padilla Inc,HealthTech,58018.33877102329,12,11,5,Advertising,110942,0.46,0.91,1
"Anderson, Baker and Alexander",HealthTech,547240.7919226256,6,28,3,Advertising,118329,0.96,0.39,1
"Kane, Hansen and Morris",Travel,1084835.1407707671,6,45,3,One-time Purchase,24336,0.11,0.94,0
"Mcconnell, Martin and Diaz",FinTech,46512.78898709464,15,24,2,Commission,15356,0.53,0.26,0
"Tate, Smith and Church",AI/ML,2399910.687984566,4,25,2,Advertising,155666,0.72,0.71,1
Berg-Hines,AI/ML,909893.7063308994,10,13,4,Advertising,72869,0.22,0.39,0
"Murphy, Ponce and Taylor",HealthTech,535789.0276511725,7,45,4,Advertising,89171,0.96,0.67,1
Conway Group,FinTech,4569927.319280792,10,32,1,Subscription,69893,0.33,0.33,1
"Jackson, Patel and Norton",Gaming,573525.2727868448,11,9,2,Subscription,173189,0.6,0.88,1
"Dunlap, Brooks and Johnson",FoodTech,404609.6723045763,10,31,4,Advertising,55386,0.36,0.67,0
Young LLC,FoodTech,205240.61980585998,3,23,3,One-time Purchase,107176,0.41,0.56,0
Lee Ltd,Gaming,2368449.091046791,2,6,5,One-time Purchase,37335,0.35,0.93,1
"Holt, Branch and Pollard",E-commerce,1835675.169277275,4,27,4,One-time Purchase,93113,0.48,0.43,0
Carpenter-Brown,AI/ML,47727.93856456442,6,23,5,One-time Purchase,77346,0.4,0.91,0
Smith Inc,EdTech,4185566.1856969185,6,9,5,Subscription,85793,0.15,0.29,0
Sullivan LLC,FoodTech,1894867.0365983304,4,26,2,Subscription,138402,0.59,0.58,0
"Velasquez, Gross and Alvarez",RealEstate,44896.51535902957,10,24,2,Subscription,69231,0.58,0.13,0
"Jimenez, Morales and Campbell",EdTech,223165.04882722697,8,17,3,Freemium,5518,0.91,0.33,1
Torres PLC,Travel,1123294.8966302811,3,21,5,Freemium,191148,0.33,0.69,0
Stephens LLC,Gaming,43382.73467399977,15,32,1,Freemium,74019,0.86,0.45,1
Cruz and Sons,AI/ML,271198.46970360616,7,23,5,Subscription,114894,0.12,0.4,0
"Booker, Moore and Williams",EdTech,93570.48961497357,4,20,1,Commission,72451,0.33,0.54,0
"Garcia, Harris and Bryant",HealthTech,1172151.5325237222,5,28,5,Subscription,152565,0.35,0.59,0
Coleman-Spencer,FoodTech,48376.42862861385,5,39,1,Advertising,149213,0.92,0.81,1
Hawkins Ltd,Travel,111379.8788136714,2,33,1,One-time Purchase,70451,0.51,0.31,0
Shaw-Spencer,RealEstate,2183149.0030421657,0,30,1,Subscription,152578,0.37,0.26,0
House LLC,HealthTech,5342608.375533325,1,9,3,Subscription,133522,0.21,0.78,1
Thompson-Reed,EdTech,251141.41676403407,13,22,4,Commission,24580,0.66,0.18,0
Harris-King,HealthTech,205066.8648263788,3,34,4,One-time Purchase,42431,0.46,0.26,0
Krueger PLC,EdTech,242695.9772145459,10,34,1,Advertising,145338,0.68,0.54,0
Davis LLC,Travel,853162.4069739921,11,36,1,One-time Purchase,139172,0.33,0.77,0
White PLC,HealthTech,1720023.183563994,15,35,5,Subscription,159434,0.68,0.93,1
"Richardson, Burgess and Sanchez",AI/ML,1647115.0152444493,11,25,5,Freemium,67536,0.13,0.44,0
Smith PLC,HealthTech,217739.03344391624,7,49,4,One-time Purchase,29984,0.63,0.95,1
Ray-Rivers,AI/ML,435276.62713094853,9,9,2,Subscription,183722,0.12,0.61,0
Fritz-Lindsey,FoodTech,40564.40014400294,13,47,3,Commission,68694,0.24,0.83,0
"Summers, Flores and Peters",EdTech,5904856.047279554,3,2,2,Freemium,79427,0.4,0.65,1
Obrien-Bell,FinTech,2108012.0192147642,3,29,3,Commission,34045,0.68,0.94,1
Mahoney-Swanson,HealthTech,534689.3183765992,15,38,1,Subscription,171124,0.79,0.13,1
Martinez-Lawson,RealEstate,560663.3794471995,2,11,3,Freemium,130679,0.29,0.41,0
"Henderson, James and Taylor",EdTech,276035.189220372,4,22,1,Freemium,86856,0.34,0.4,0
Jones-Holland,RealEstate,80011.5877591015,10,48,2,One-time Purchase,61883,0.87,0.65,1
Lewis Group,HealthTech,465990.4681432653,3,18,4,Commission,87671,0.32,0.97,0
"Davis, Mccormick and Rivera",FoodTech,532298.2468396833,3,22,4,Freemium,167246,0.49,0.72,0
"Mcgee, Jones and Huerta",E-commerce,4125305.3886863072,4,7,3,One-time Purchase,33517,0.22,0.74,0
Lam Inc,AI/ML,4267378.11361352,8,16,3,One-time Purchase,7891,0.5,0.81,1
Higgins-Nicholson,FinTech,231358.09694863236,4,10,3,Commission,55733,0.24,0.29,0
"Roberts, Bernard and Mason",FinTech,581913.0547640909,1,4,5,Advertising,133168,0.14,0.86,0
Davis-Chavez,EdTech,4156838.5304557015,1,34,5,Advertising,101284,0.99,0.78,1
Conley-Martinez,FoodTech,470444.2951608301,11,26,1,Commission,130007,0.33,0.48,0
Stokes-Lewis,Travel,90842.84539213535,10,10,5,One-time Purchase,183966,0.84,0.86,1
Hammond-Powell,FinTech,201998.64797366963,14,26,4,One-time Purchase,145947,0.49,0.72,1
Hebert Ltd,FinTech,916575.1803999658,6,28,1,Freemium,67052,0.41,0.43,0
Warner Ltd,E-commerce,597334.2207358339,0,36,5,Commission,143019,0.91,0.55,1
"Rivera, Carter and Oliver",AI/ML,102330.5707637098,14,42,1,Commission,148189,0.58,0.5,0
Swanson-Lane,HealthTech,4785778.915578742,9,39,3,Advertising,100493,0.82,0.8,1
Jones-Baird,EdTech,42957.57991756089,12,37,5,One-time Purchase,161965,0.65,0.22,1
Miller Ltd,RealEstate,4456415.523268893,6,47,4,Subscription,107042,0.98,0.64,1
"Jimenez, Rodriguez and Sullivan",Travel,233855.00597713614,10,36,1,One-time Purchase,148914,0.86,0.48,1
"Brock, Hudson and Johnson",HealthTech,464475.8056130031,5,48,3,Commission,147469,0.49,0.7,0
"Scott, Shields and Garcia",Gaming,221062.79858664225,13,36,1,One-time Purchase,79425,0.26,0.68,0
Oliver Ltd,Gaming,59101.62322255212,6,47,5,Commission,113479,0.53,0.22,0
"Hutchinson, Clark and Jackson",RealEstate,2345892.2193857804,7,30,4,Advertising,47530,1.0,0.38,1
Brown-Wilkerson,RealEstate,2122294.4987846795,11,24,5,Freemium,88386,0.73,0.78,1
Jacobs LLC,HealthTech,248079.4172883704,11,39,3,One-time Purchase,198696,0.78,0.77,1
Nash-Johnson,FoodTech,527828.7505024446,4,41,1,Commission,5903,0.98,0.58,1
"Miller, Davenport and Gilbert",Gaming,1168583.5783556884,12,45,3,Subscription,47933,0.29,0.19,0
Santos-Copeland,EdTech,4822348.395991498,12,35,3,Subscription,51981,0.96,0.9,1
"Bishop, Scott and Middleton",FoodTech,5104340.97281969,12,14,5,One-time Purchase,103262,0.74,0.16,1
Gonzalez and Sons,HealthTech,834394.7794212268,5,28,4,Subscription,165698,0.24,0.21,0
Garcia Ltd,RealEstate,597264.9037943012,7,10,4,One-time Purchase,47347,0.76,0.46,1
Carr Ltd,FoodTech,1171226.6990207562,9,18,4,Freemium,36570,0.16,0.35,0
Owens Ltd,FoodTech,2180291.2294003954,11,17,2,Advertising,37225,0.44,0.7,1
Sullivan-Ross,AI/ML,548977.2577608173,5,33,1,Advertising,16102,0.52,0.83,0
Goodman-Gibson,FinTech,5807340.159682389,6,38,1,Advertising,19492,0.17,0.59,1
Jones PLC,HealthTech,922550.7081511848,10,24,3,Advertising,25793,0.76,0.71,1
Frazier-Rodgers,FinTech,5586921.137323591,8,3,5,Advertising,31719,0.36,0.98,1
Zamora and Sons,AI/ML,1110823.0428512963,6,43,3,Commission,74088,0.62,0.17,0
Morgan-Schultz,FoodTech,44788.040347318456,7,31,3,Subscription,85746,0.28,0.71,0
"Moore, Castro and Higgins",FinTech,514341.3135947672,11,46,2,Advertising,126467,0.39,0.46,0
"Rodriguez, Deleon and Bennett",EdTech,93263.19462730148,13,46,5,Commission,45456,0.36,0.76,1
Johnson-Arroyo,FinTech,2254596.620370483,0,37,2,One-time Purchase,118288,0.29,0.2,0
Ryan Inc,RealEstate,2351925.178573608,15,36,2,Commission,64879,0.81,0.88,1
Fernandez Group,HealthTech,42968.21859189168,2,28,3,One-time Purchase,30455,0.32,0.84,0
Lawson and Sons,RealEstate,576539.6018834444,11,48,1,One-time Purchase,39855,0.13,0.94,0
Branch LLC,Travel,1137661.9100795041,10,15,4,Commission,130440,0.83,0.51,1
Berry LLC,HealthTech,510549.2129920634,7,25,1,Commission,129096,0.65,0.77,0
"Ward, Mckinney and Hall",Gaming,1718494.1888964106,11,26,5,Advertising,173048,0.62,0.93,1
Garcia-Adams,FinTech,935540.8007707617,12,13,1,Commission,158162,0.61,0.4,0
Sanchez-Parrish,EdTech,55535.762366069306,11,38,4,Commission,107560,0.46,0.9,1
Jefferson Ltd,Travel,1936453.1539565206,13,49,3,One-time Purchase,54969,0.3,0.29,0
Williams-Salinas,FoodTech,46807.76454348056,6,6,4,Advertising,159845,0.92,0.85,1
"Watts, Potter and Walker",HealthTech,5688693.052056596,7,3,3,Freemium,60549,0.5,0.42,1
Chan-Montoya,HealthTech,100534.05942800122,5,5,1,One-time Purchase,62126,0.93,0.26,0
Kim-Nelson,FinTech,85615.23629807179,2,50,2,Commission,16396,0.86,0.18,0
"Johnson, Rowland and Hodges",AI/ML,559412.7821867281,9,8,3,Subscription,46307,0.29,0.12,0
Smith-Johnson,E-commerce,1777509.6247638762,14,5,3,Freemium,101001,0.55,0.18,1
Moore Group,Gaming,2253533.926870717,3,42,4,Commission,142067,0.85,0.56,1
"Vaughn, Evans and Mcclure",HealthTech,234805.05246666816,0,6,5,Commission,156457,0.69,0.4,0
"Heath, Martin and Hartman",FoodTech,234897.3587811961,6,24,2,Subscription,95813,0.36,0.16,0
"Flores, Atkins and Jenkins",EdTech,2119256.2634451254,8,19,4,Commission,151432,0.94,0.24,1
"Ryan, Hartman and Matthews",FinTech,265121.90039755765,4,14,5,One-time Purchase,64569,0.67,0.62,0
"Stewart, Mccoy and Hernandez",Gaming,5439758.256780548,6,25,2,Subscription,156084,0.25,0.19,0
"Sims, Thompson and Howell",FoodTech,51805.17528183053,9,42,3,One-time Purchase,113166,0.21,0.81,0
"Richardson, Chavez and Ramirez",HealthTech,5895709.619695106,4,4,4,One-time Purchase,109264,0.93,0.93,1
"Lewis, Villegas and Olsen",EdTech,461640.61008489545,6,10,1,Advertising,195780,0.17,0.25,0
Perkins-Campbell,HealthTech,403284.52680215304,8,20,2,Commission,170413,0.87,0.64,1
Jenkins-Acosta,HealthTech,273358.1313153305,3,35,3,Subscription,26570,0.57,0.11,0
Mills-Allen,HealthTech,2224313.570614388,10,36,5,Commission,188345,0.33,0.89,1
James PLC,AI/ML,286791.5817906995,9,33,3,Freemium,186396,0.84,0.39,1
"Garcia, Dillon and Castillo",RealEstate,4469584.31447035,3,35,1,Subscription,7301,0.31,0.8,0
"Goodwin, Harris and Gardner",Travel,58911.64747325739,10,28,1,Advertising,34278,0.61,0.8,0
Boyd and Sons,Gaming,2078430.1884190599,1,43,5,Freemium,18954,0.81,0.62,1
Watson Inc,HealthTech,1810152.7816796962,2,9,5,One-time Purchase,98105,0.72,0.22,0
Shah Group,AI/ML,901501.1687954946,3,3,5,Commission,47526,0.45,0.91,0
"Shields, Olson and Hamilton",EdTech,58462.832383571484,7,17,4,Freemium,79446,0.85,0.67,1
Willis Group,HealthTech,1642360.6788574955,2,12,4,Advertising,195367,0.78,0.83,1
Collins PLC,AI/ML,976138.0660897186,15,36,1,Subscription,68601,0.59,0.3,0
"Carr, Johnson and Johnson",EdTech,440552.9974265682,12,5,2,Commission,25046,0.7,0.69,1
Robinson Inc,Gaming,931053.5694879218,8,23,2,Subscription,118761,0.61,0.65,0
Nguyen-Ramos,EdTech,49588.63367453437,5,4,5,Commission,46226,0.35,0.83,0
Thornton PLC,FinTech,50125.95576001744,8,43,4,Commission,78087,0.68,0.87,1
Ross-Grant,FinTech,1003789.7650842273,14,34,4,Commission,30920,0.27,0.47,0
"Robinson, Murray and Thomas",FinTech,2146964.847799794,10,28,4,Advertising,191418,0.11,0.16,0
Walker Ltd,EdTech,996491.4544215681,13,26,5,Advertising,102351,0.84,0.27,1
Pope and Sons,HealthTech,2182303.7939926893,0,14,5,Commission,168062,0.75,0.38,0
Davis and Sons,EdTech,1056663.078933749,9,32,1,Freemium,171966,0.99,0.2,1
"Carpenter, Sullivan and Sweeney",Gaming,4047812.548368259,7,29,2,One-time Purchase,168385,0.17,1.0,1
Daniels LLC,Travel,42819.314341825164,3,41,5,Commission,75221,1.0,0.87,1
"Branch, Carr and Perez",AI/ML,254970.16952480807,4,43,1,One-time Purchase,126822,0.3,0.23,0
Noble-Hensley,E-commerce,220694.16210661488,11,43,5,Commission,172680,0.7,0.98,1
"Wagner, Lee and Miller",FinTech,5290778.631264968,12,36,1,Commission,19473,0.21,0.59,1
Sims-Fisher,FinTech,92766.12749409543,14,47,3,Commission,46715,0.44,0.7,1
"Huerta, Thomas and Patterson",Gaming,878099.0153555643,8,34,1,Commission,139785,0.35,0.79,0
Mclean-Johnson,EdTech,54180.052992378514,10,34,1,Freemium,184223,0.16,0.55,0
Brown-Hodges,AI/ML,267420.8851315252,1,19,5,Subscription,21489,0.36,0.93,0
"Davis, Moore and Maynard",E-commerce,893638.2300052511,9,6,1,Subscription,83771,0.54,0.13,0
Moreno PLC,RealEstate,430516.85583110503,13,35,5,Advertising,163238,0.7,0.48,1
Meyer-Gilbert,FoodTech,1834919.9360743267,9,15,1,Commission,145665,0.69,0.95,1
Hale-Ayala,RealEstate,2203392.1531844535,10,36,1,Freemium,114410,0.17,0.45,0
"Avila, Wilson and Trujillo",Travel,57779.11666383985,14,12,1,Advertising,187317,0.67,0.14,0
Roach LLC,FoodTech,4250339.2891082,7,13,1,Advertising,173012,0.82,0.89,1
Mckinney Group,EdTech,565446.1162066226,6,40,4,Advertising,105419,0.11,0.56,0
"Henry, Davidson and Rogers",FoodTech,226632.91583469565,6,9,4,Commission,43018,0.33,0.22,0
"Walker, Soto and White",Travel,998095.8868585507,15,19,2,One-time Purchase,86821,0.12,0.3,0
Dennis Inc,RealEstate,56964.20850812129,14,32,5,Freemium,23390,0.33,0.67,1
Foster-Rogers,FinTech,52866.998011132484,10,23,3,Freemium,86568,0.73,0.61,1
Acosta-Chen,FoodTech,46800.52016461414,3,50,2,Freemium,198735,0.2,0.62,0
Murray LLC,RealEstate,1015389.0220044184,0,21,4,Freemium,51182,0.19,0.41,0
Jones Inc,FoodTech,555607.3488557738,9,34,2,Freemium,116975,0.99,0.8,1
"Gibson, Young and Lee",FinTech,80780.6642548883,9,34,3,Freemium,190709,0.87,0.51,1
Hernandez and Sons,Travel,100808.12917689806,2,21,5,Advertising,75854,0.9,0.59,1
Gutierrez and Sons,RealEstate,1990336.0933786575,15,20,4,One-time Purchase,18680,0.23,0.12,0
Kidd-Powers,RealEstate,1847689.1832728435,11,35,1,Advertising,77628,0.49,0.19,0
"Johnson, May and Gonzalez",FoodTech,47163.49253907667,10,22,5,One-time Purchase,125597,0.92,0.99,1
Rodriguez-Lamb,Gaming,586635.778543424,15,39,3,Freemium,95467,0.75,0.49,1
Nelson-Sandoval,Gaming,81473.98136492685,5,17,5,Freemium,74481,0.52,0.88,1
Miller-Turner,EdTech,1104381.4975967351,13,24,3,Commission,26656,0.3,0.83,1
"White, Flynn and Olson",E-commerce,882833.0533336832,11,22,3,Advertising,21589,0.16,0.18,0
"Jones, Martin and Villegas",FinTech,2057734.2866429796,8,25,4,Advertising,187392,0.92,0.92,1
Thompson LLC,AI/ML,52676.509809805495,12,27,1,Freemium,125508,1.0,0.24,1
"Martinez, Howell and Salazar",EdTech,512779.4275499076,4,18,2,Commission,194816,0.35,0.5,0
Reynolds-Vasquez,EdTech,285850.3346784781,9,49,1,Commission,33092,0.68,0.31,0
"Bradley, Irwin and Harris",Gaming,48983.63109932355,4,30,5,Advertising,6806,0.14,0.88,0
"Young, James and Jackson",AI/ML,1877840.67182059,6,14,3,Commission,97209,0.84,0.68,1
"Gonzalez, Walker and Thomas",RealEstate,109491.1524267088,8,25,2,One-time Purchase,125014,0.72,0.67,1
Khan PLC,FoodTech,56911.18417586443,8,12,2,Subscription,69195,0.12,0.39,0
"Newman, Jones and Cardenas",Travel,499728.75802599173,3,28,1,Advertising,134382,0.63,0.54,0
"Morris, Mack and Hunter",FoodTech,4620210.386719887,0,3,1,One-time Purchase,180707,0.13,0.68,0
Bailey Ltd,FoodTech,119073.56673488865,14,37,2,Freemium,42279,0.42,0.23,0
"Roth, Brown and Reeves",FoodTech,200062.14607019557,1,2,1,Advertising,76510,0.34,0.17,0
Guerrero LLC,EdTech,225576.5537179796,6,28,1,One-time Purchase,106223,0.2,0.86,0
Garrison-Haynes,FinTech,1095244.7592895115,2,12,3,Subscription,22392,0.99,0.16,0
White Ltd,E-commerce,41311.6871643789,12,11,4,Commission,137462,0.89,0.94,1
"Martinez, Perry and Weaver",HealthTech,270354.77358814055,7,5,4,One-time Purchase,34801,0.29,0.84,0
Hernandez Group,Gaming,47783.714683752434,13,9,4,Commission,194613,0.3,0.73,0
"Stein, Villanueva and Potter",HealthTech,558737.1876049433,15,21,4,One-time Purchase,95838,0.49,0.37,1
"Martinez, Miller and Mcbride",RealEstate,551308.9238876426,3,35,5,One-time Purchase,61698,0.29,0.77,0
"Duffy, Thomas and Chavez",E-commerce,5843982.817079551,2,15,1,One-time Purchase,28533,0.88,0.97,1
Wallace-Shah,HealthTech,883459.6810472246,3,42,1,Freemium,98456,0.17,0.34,0
Yates-Gomez,EdTech,271330.052391454,6,2,1,Commission,112504,0.17,0.78,0
Arellano-Wilkinson,Travel,827424.690462735,15,22,5,Advertising,25040,0.99,0.86,1
"Shaw, Mendez and Webb",E-commerce,235220.7479424535,12,41,4,Advertising,28856,0.62,0.33,1
Jenkins Ltd,E-commerce,55074.63540024661,3,24,1,Freemium,159750,0.29,0.36,0
"Gray, Kennedy and Ward",HealthTech,5861358.776741936,1,29,4,Freemium,43617,0.75,0.33,1
"Johnson, Lewis and Juarez",AI/ML,41383.67946263025,12,26,1,Freemium,89929,0.88,0.35,1
"Allen, Lewis and Hayes",HealthTech,262753.26137814205,0,7,2,One-time Purchase,74229,0.41,0.67,0
"Rodriguez, Horton and Wilson",FoodTech,248976.8676117084,11,47,1,Freemium,115559,0.19,0.11,0
Phelps Group,FinTech,96270.59894678312,8,12,3,Freemium,54110,0.52,0.69,0
"Ortega, Kelly and Gonzalez",FinTech,219635.08856888599,12,45,1,Advertising,47032,0.88,0.85,1
Conner-Johnson,Gaming,544757.1758213984,3,5,2,Freemium,7294,0.48,0.34,0
Maldonado-Brewer,RealEstate,403867.10838171805,9,7,4,Advertising,152534,0.27,0.3,0
Wilson-Ashley,HealthTech,487448.0520122205,7,25,5,Freemium,25809,0.31,0.52,0
Nelson and Sons,Travel,288134.304763858,2,20,1,Advertising,166855,0.54,0.28,0
"Gardner, Walters and Jordan",EdTech,58356.32885555592,13,10,2,Commission,195885,0.31,0.17,0
Davis Ltd,Gaming,84982.42794357531,10,27,3,Subscription,181190,1.0,0.9,1
"Sanchez, Norris and Salazar",AI/ML,1858717.0430778933,15,5,3,One-time Purchase,163972,0.38,0.47,1
Franco Ltd,FinTech,84067.34418272486,2,48,1,One-time Purchase,125444,0.14,0.63,0
"Jones, Anderson and James",E-commerce,858339.9300071055,13,6,2,One-time Purchase,41265,0.93,0.29,1
